,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Cabin_Class,Cabin_Num,Status,Married
0,1,0,3,Mr,0,22.0,1,0,A/5 21171,7.0,2,,,1.0,
1,2,1,1,Mrs,1,38.0,1,0,PC 17599,71.0,0,3.0,85,1.0,1.0
2,3,1,3,Miss,1,26.0,0,0,STON/O2. 3101282,8.0,2,,,1.0,0.0
3,4,1,1,Mrs,1,35.0,1,0,113803,53.0,2,3.0,123,1.0,1.0
4,5,0,3,Mr,0,35.0,0,0,373450,8.0,2,,,1.0,
5,6,0,3,Mr,0,,0,0,330877,8.0,1,,,1.0,
6,7,0,1,Mr,0,54.0,0,0,17463,52.0,2,5.0,46,1.0,
7,8,0,3,Master,0,2.0,3,1,349909,21.0,2,,,2.0,
8,9,1,3,Mrs,1,27.0,0,2,347742,11.0,2,,,1.0,1.0
9,10,1,2,Mrs,1,14.0,1,0,237736,30.0,0,,,1.0,1.0
10,11,1,3,Miss,1,4.0,1,1,PP 9549,17.0,2,7.0,6,1.0,0.0
11,12,1,1,Miss,1,58.0,0,0,113783,27.0,2,3.0,103,1.0,0.0
12,13,0,3,Mr,0,20.0,0,0,A/5. 2151,8.0,2,,,1.0,
13,14,0,3,Mr,0,39.0,1,5,347082,31.0,2,,,1.0,
14,15,0,3,Miss,1,14.0,0,0,350406,8.0,2,,,1.0,0.0
15,16,1,2,Mrs,1,55.0,0,0,248706,16.0,2,,,1.0,1.0
16,17,0,3,Master,0,2.0,4,1,382652,29.0,1,,,2.0,
17,18,1,2,Mr,0,,0,0,244373,13.0,2,,,1.0,
18,19,0,3,Mrs,1,31.0,1,0,345763,18.0,2,,,1.0,1.0
19,20,1,3,Mrs,1,,0,0,2649,7.0,0,,,1.0,1.0
20,21,0,2,Mr,0,35.0,0,0,239865,26.0,2,,,1.0,
21,22,1,2,Mr,0,34.0,0,0,248698,13.0,2,4.0,56,1.0,
22,23,1,3,Miss,1,15.0,0,0,330923,8.0,1,,,1.0,0.0
23,24,1,1,Mr,0,28.0,0,0,113788,36.0,2,1.0,6,1.0,
24,25,0,3,Miss,1,8.0,3,1,349909,21.0,2,,,1.0,0.0
25,26,1,3,Mrs,1,38.0,1,5,347077,31.0,2,,,1.0,1.0
26,27,0,3,Mr,0,,0,0,2631,7.0,0,,,1.0,
27,28,0,1,Mr,0,19.0,3,2,19950,263.0,2,3.0,23,1.0,
28,29,1,3,Miss,1,,0,0,330959,8.0,1,,,1.0,0.0
29,30,0,3,Mr,0,,0,0,349216,8.0,2,,,1.0,
30,31,0,1,Don,0,40.0,0,0,PC 17601,28.0,0,,,3.0,
31,32,1,1,Mrs,1,,1,0,PC 17569,147.0,0,2.0,78,1.0,1.0
32,33,1,3,Miss,1,,0,0,335677,8.0,1,,,1.0,0.0
33,34,0,2,Mr,0,66.0,0,0,C.A. 24579,10.0,2,,,1.0,
34,35,0,1,Mr,0,28.0,1,0,PC 17604,82.0,0,,,1.0,
35,36,0,1,Mr,0,42.0,1,0,113789,52.0,2,,,1.0,
36,37,1,3,Mr,0,,0,0,2677,7.0,0,,,1.0,
37,38,0,3,Mr,0,21.0,0,0,A./5. 2152,8.0,2,,,1.0,
38,39,0,3,Miss,1,18.0,2,0,345764,18.0,2,,,1.0,0.0
39,40,1,3,Miss,1,14.0,1,0,2651,11.0,0,,,1.0,0.0
40,41,0,3,Mrs,1,40.0,1,0,7546,9.0,2,,,1.0,1.0
41,42,0,2,Mrs,1,27.0,1,0,11668,21.0,2,,,1.0,1.0
42,43,0,3,Mr,0,,0,0,349253,8.0,0,,,1.0,
43,44,1,2,Miss,1,3.0,1,2,SC/Paris 2123,42.0,0,,,1.0,0.0
44,45,1,3,Miss,1,19.0,0,0,330958,8.0,1,,,1.0,0.0
45,46,0,3,Mr,0,,0,0,S.C./A.4. 23567,8.0,2,,,1.0,
46,47,0,3,Mr,0,,1,0,370371,16.0,1,,,1.0,
47,48,1,3,Miss,1,,0,0,14311,8.0,1,,,1.0,0.0
48,49,0,3,Mr,0,,2,0,2662,22.0,0,,,1.0,
49,50,0,3,Mrs,1,18.0,1,0,349237,18.0,2,,,1.0,1.0
50,51,0,3,Master,0,7.0,4,1,3101295,40.0,2,,,2.0,
51,52,0,3,Mr,0,21.0,0,0,A/4. 39886,8.0,2,,,1.0,
52,53,1,1,Mrs,1,49.0,1,0,PC 17572,77.0,0,4.0,33,1.0,1.0
53,54,1,2,Mrs,1,29.0,1,0,2926,26.0,2,,,1.0,1.0
54,55,0,1,Mr,0,65.0,0,1,113509,62.0,0,2.0,30,1.0,
55,56,1,1,Mr,0,,0,0,19947,36.0,2,3.0,52,1.0,
56,57,1,2,Miss,1,21.0,0,0,C.A. 31026,10.0,2,,,1.0,0.0
57,58,0,3,Mr,0,28.5,0,0,2697,7.0,0,,,1.0,
58,59,1,2,Miss,1,5.0,1,2,C.A. 34651,28.0,2,,,1.0,0.0
59,60,0,3,Master,0,11.0,5,2,CA 2144,47.0,2,,,2.0,
60,61,0,3,Mr,0,22.0,0,0,2669,7.0,0,,,1.0,
62,63,0,1,Mr,0,45.0,1,0,36973,83.0,2,3.0,83,1.0,
63,64,0,3,Master,0,4.0,3,2,347088,28.0,2,,,2.0,
64,65,0,1,Mr,0,,0,0,PC 17605,28.0,0,,,1.0,
65,66,1,3,Master,0,,1,1,2661,15.0,0,,,2.0,
66,67,1,2,Mrs,1,29.0,0,0,C.A. 29395,10.0,2,6.0,33,1.0,1.0
67,68,0,3,Mr,0,19.0,0,0,S.P. 3464,8.0,2,,,1.0,
68,69,1,3,Miss,1,17.0,4,2,3101281,8.0,2,,,1.0,0.0
69,70,0,3,Mr,0,26.0,2,0,315151,9.0,2,,,1.0,
70,71,0,2,Mr,0,32.0,0,0,C.A. 33111,10.0,2,,,1.0,
71,72,0,3,Miss,1,16.0,5,2,CA 2144,47.0,2,,,1.0,0.0
72,73,0,2,Mr,0,21.0,0,0,S.O.C. 14879,74.0,2,,,1.0,
73,74,0,3,Mr,0,26.0,1,0,2680,14.0,0,,,1.0,
74,75,1,3,Mr,0,32.0,0,0,1601,56.0,2,,,1.0,
75,76,0,3,Mr,0,25.0,0,0,348123,8.0,2,7.0,,1.0,
76,77,0,3,Mr,0,,0,0,349208,8.0,2,,,1.0,
77,78,0,3,Mr,0,,0,0,374746,8.0,2,,,1.0,
78,79,1,2,Master,0,0.83,0,2,248738,29.0,2,,,2.0,
79,80,1,3,Miss,1,30.0,0,0,364516,12.0,2,,,1.0,0.0
80,81,0,3,Mr,0,22.0,0,0,345767,9.0,2,,,1.0,
81,82,1,3,Mr,0,29.0,0,0,345779,10.0,2,,,1.0,
82,83,1,3,Miss,1,,0,0,330932,8.0,1,,,1.0,0.0
83,84,0,1,Mr,0,28.0,0,0,113059,47.0,2,,,1.0,
84,85,1,2,Miss,1,17.0,0,0,SO/C 14885,10.0,2,,,1.0,0.0
85,86,1,3,Mrs,1,33.0,3,0,3101278,16.0,2,,,1.0,1.0
86,87,0,3,Mr,0,16.0,1,3,W./C. 6608,34.0,2,,,1.0,
87,88,0,3,Mr,0,,0,0,SOTON/OQ 392086,8.0,2,,,1.0,
88,89,1,1,Miss,1,23.0,3,2,19950,263.0,2,3.0,23,1.0,0.0
89,90,0,3,Mr,0,24.0,0,0,343275,8.0,2,,,1.0,
90,91,0,3,Mr,0,29.0,0,0,343276,8.0,2,,,1.0,
91,92,0,3,Mr,0,20.0,0,0,347466,8.0,2,,,1.0,
92,93,0,1,Mr,0,46.0,1,0,W.E.P. 5734,61.0,2,5.0,31,1.0,
93,94,0,3,Mr,0,26.0,1,2,C.A. 2315,21.0,2,,,1.0,
94,95,0,3,Mr,0,59.0,0,0,364500,7.0,2,,,1.0,
95,96,0,3,Mr,0,,0,0,374910,8.0,2,,,1.0,
96,97,0,1,Mr,0,71.0,0,0,PC 17754,35.0,0,1.0,5,1.0,
97,98,1,1,Mr,0,23.0,0,1,PC 17759,63.0,0,4.0,10,1.0,
98,99,1,2,Mrs,1,34.0,0,1,231919,23.0,2,,,1.0,1.0
99,100,0,2,Mr,0,34.0,1,0,244367,26.0,2,,,1.0,
100,101,0,3,Miss,1,28.0,0,0,349245,8.0,2,,,1.0,0.0
101,102,0,3,Mr,0,,0,0,349215,8.0,2,,,1.0,
102,103,0,1,Mr,0,21.0,0,1,35281,77.0,2,4.0,26,1.0,
103,104,0,3,Mr,0,33.0,0,0,7540,9.0,2,,,1.0,
104,105,0,3,Mr,0,37.0,2,0,3101276,8.0,2,,,1.0,
105,106,0,3,Mr,0,28.0,0,0,349207,8.0,2,,,1.0,
106,107,1,3,Miss,1,21.0,0,0,343120,8.0,2,,,1.0,0.0
107,108,1,3,Mr,0,,0,0,312991,8.0,2,,,1.0,
108,109,0,3,Mr,0,38.0,0,0,349249,8.0,2,,,1.0,
109,110,1,3,Miss,1,,1,0,371110,24.0,1,,,1.0,0.0
110,111,0,1,Mr,0,47.0,0,0,110465,52.0,2,3.0,110,1.0,
111,112,0,3,Miss,1,14.5,1,0,2665,14.0,0,,,1.0,0.0
112,113,0,3,Mr,0,22.0,0,0,324669,8.0,2,,,1.0,
113,114,0,3,Miss,1,20.0,1,0,4136,10.0,2,,,1.0,0.0
114,115,0,3,Miss,1,17.0,0,0,2627,14.0,0,,,1.0,0.0
115,116,0,3,Mr,0,21.0,0,0,STON/O 2. 3101294,8.0,2,,,1.0,
116,117,0,3,Mr,0,70.5,0,0,370369,8.0,1,,,1.0,
117,118,0,2,Mr,0,29.0,1,0,11668,21.0,2,,,1.0,
118,119,0,1,Mr,0,24.0,0,1,PC 17558,248.0,0,2.0,58,1.0,
119,120,0,3,Miss,1,2.0,4,2,347082,31.0,2,,,1.0,0.0
120,121,0,2,Mr,0,21.0,2,0,S.O.C. 14879,74.0,2,,,1.0,
121,122,0,3,Mr,0,,0,0,A4. 54510,8.0,2,,,1.0,
122,123,0,2,Mr,0,32.5,1,0,237736,30.0,0,,,1.0,
123,124,1,2,Miss,1,32.5,0,0,27267,13.0,2,5.0,101,1.0,0.0
124,125,0,1,Mr,0,54.0,0,1,35281,77.0,2,4.0,26,1.0,
125,126,1,3,Master,0,12.0,1,0,2651,11.0,0,,,2.0,
126,127,0,3,Mr,0,,0,0,370372,8.0,1,,,1.0,
127,128,1,3,Mr,0,24.0,0,0,C 17369,7.0,2,,,1.0,
128,129,1,3,Miss,1,,1,1,2668,22.0,0,6.0,,1.0,0.0
129,130,0,3,Mr,0,45.0,0,0,347061,7.0,2,,,1.0,
130,131,0,3,Mr,0,33.0,0,0,349241,8.0,0,,,1.0,
131,132,0,3,Mr,0,20.0,0,0,SOTON/O.Q. 3101307,7.0,2,,,1.0,
132,133,0,3,Mrs,1,47.0,1,0,A/5. 3337,14.0,2,,,1.0,1.0
133,134,1,2,Mrs,1,29.0,1,0,228414,26.0,2,,,1.0,1.0
134,135,0,2,Mr,0,25.0,0,0,C.A. 29178,13.0,2,,,1.0,
135,136,0,2,Mr,0,23.0,0,0,SC/PARIS 2133,15.0,0,,,1.0,
136,137,1,1,Miss,1,19.0,0,2,11752,26.0,2,4.0,47,1.0,0.0
137,138,0,1,Mr,0,37.0,1,0,113803,53.0,2,3.0,123,1.0,
138,139,0,3,Mr,0,16.0,0,0,7534,9.0,2,,,1.0,
139,140,0,1,Mr,0,24.0,0,0,PC 17593,79.0,0,2.0,86,1.0,
140,141,0,3,Mrs,1,,0,2,2678,15.0,0,,,1.0,1.0
141,142,1,3,Miss,1,22.0,0,0,347081,8.0,2,,,1.0,0.0
142,143,1,3,Mrs,1,24.0,1,0,STON/O2. 3101279,16.0,2,,,1.0,1.0
143,144,0,3,Mr,0,19.0,0,0,365222,7.0,1,,,1.0,
144,145,0,2,Mr,0,18.0,0,0,231945,12.0,2,,,1.0,
145,146,0,2,Mr,0,19.0,1,1,C.A. 33112,37.0,2,,,1.0,
146,147,1,3,Mr,0,27.0,0,0,350043,8.0,2,,,1.0,
147,148,0,3,Miss,1,9.0,2,2,W./C. 6608,34.0,2,,,1.0,0.0
148,149,0,2,Mr,0,36.5,0,2,230080,26.0,2,6.0,2,1.0,
149,150,0,2,Rev,0,42.0,0,0,244310,13.0,2,,,,
150,151,0,2,Rev,0,51.0,0,0,S.O.P. 1166,13.0,2,,,,
151,152,1,1,Mrs,1,22.0,1,0,113776,67.0,2,3.0,2,1.0,1.0
152,153,0,3,Mr,0,55.5,0,0,A.5. 11206,8.0,2,,,1.0,
153,154,0,3,Mr,0,40.5,0,2,A/5. 851,14.0,2,,,1.0,
154,155,0,3,Mr,0,,0,0,Fa 265302,7.0,2,,,1.0,
155,156,0,1,Mr,0,51.0,0,1,PC 17597,61.0,0,,,1.0,
156,157,1,3,Miss,1,16.0,0,0,35851,8.0,1,,,1.0,0.0
157,158,0,3,Mr,0,30.0,0,0,SOTON/OQ 392090,8.0,2,,,1.0,
158,159,0,3,Mr,0,,0,0,315037,9.0,2,,,1.0,
159,160,0,3,Master,0,,8,2,CA. 2343,70.0,2,,,2.0,
160,161,0,3,Mr,0,44.0,0,1,371362,16.0,2,,,1.0,
161,162,1,2,Mrs,1,40.0,0,0,C.A. 33595,16.0,2,,,1.0,1.0
162,163,0,3,Mr,0,26.0,0,0,347068,8.0,2,,,1.0,
163,164,0,3,Mr,0,17.0,0,0,315093,9.0,2,,,1.0,
164,165,0,3,Master,0,1.0,4,1,3101295,40.0,2,,,2.0,
165,166,1,3,Master,0,9.0,0,2,363291,21.0,2,,,2.0,
166,167,1,1,Mrs,1,,0,1,113505,55.0,2,5.0,33,1.0,1.0
167,168,0,3,Mrs,1,45.0,1,4,347088,28.0,2,,,1.0,1.0
168,169,0,1,Mr,0,,0,0,PC 17318,26.0,2,,,1.0,
169,170,0,3,Mr,0,28.0,0,0,1601,56.0,2,,,1.0,
170,171,0,1,Mr,0,61.0,0,0,111240,34.0,2,2.0,19,1.0,
171,172,0,3,Master,0,4.0,4,1,382652,29.0,1,,,2.0,
172,173,1,3,Miss,1,1.0,1,1,347742,11.0,2,,,1.0,0.0
173,174,0,3,Mr,0,21.0,0,0,STON/O 2. 3101280,8.0,2,,,1.0,
174,175,0,1,Mr,0,56.0,0,0,17764,31.0,0,1.0,7,1.0,
175,176,0,3,Mr,0,18.0,1,1,350404,8.0,2,,,1.0,
176,177,0,3,Master,0,,3,1,4133,25.0,2,,,2.0,
177,178,0,1,Miss,1,50.0,0,0,PC 17595,29.0,0,3.0,49,1.0,0.0
178,179,0,2,Mr,0,30.0,0,0,250653,13.0,2,,,1.0,
179,180,0,3,Mr,0,36.0,0,0,LINE,0.0,2,,,1.0,
180,181,0,3,Miss,1,,8,2,CA. 2343,70.0,2,,,1.0,0.0
181,182,0,2,Mr,0,,0,0,SC/PARIS 2131,15.0,0,,,1.0,
182,183,0,3,Master,0,9.0,4,2,347077,31.0,2,,,2.0,
183,184,1,2,Master,0,1.0,2,1,230136,39.0,2,6.0,4,2.0,
184,185,1,3,Miss,1,4.0,0,2,315153,22.0,2,,,1.0,0.0
185,186,0,1,Mr,0,,0,0,113767,50.0,2,1.0,32,1.0,
186,187,1,3,Mrs,1,,1,0,370365,16.0,1,,,1.0,1.0
187,188,1,1,Mr,0,45.0,0,0,111428,27.0,2,,,1.0,
188,189,0,3,Mr,0,40.0,1,1,364849,16.0,1,,,1.0,
189,190,0,3,Mr,0,36.0,0,0,349247,8.0,2,,,1.0,
190,191,1,2,Mrs,1,32.0,0,0,234604,13.0,2,,,1.0,1.0
191,192,0,2,Mr,0,19.0,0,0,28424,13.0,2,,,1.0,
192,193,1,3,Miss,1,19.0,1,0,350046,8.0,2,,,1.0,0.0
193,194,1,2,Master,0,3.0,1,1,230080,26.0,2,6.0,2,2.0,
194,195,1,1,Mrs,1,44.0,0,0,PC 17610,28.0,0,2.0,4,1.0,1.0
195,196,1,1,Miss,1,58.0,0,0,PC 17569,147.0,0,2.0,80,1.0,0.0
196,197,0,3,Mr,0,,0,0,368703,8.0,1,,,1.0,
197,198,0,3,Mr,0,42.0,0,1,4579,8.0,2,,,1.0,
198,199,1,3,Miss,1,,0,0,370370,8.0,1,,,1.0,0.0
199,200,0,2,Miss,1,24.0,0,0,248747,13.0,2,,,1.0,0.0
200,201,0,3,Mr,0,28.0,0,0,345770,10.0,2,,,1.0,
201,202,0,3,Mr,0,,8,2,CA. 2343,70.0,2,,,1.0,
202,203,0,3,Mr,0,34.0,0,0,3101264,6.0,2,,,1.0,
203,204,0,3,Mr,0,45.5,0,0,2628,7.0,0,,,1.0,
204,205,1,3,Mr,0,18.0,0,0,A/5 3540,8.0,2,,,1.0,
205,206,0,3,Miss,1,2.0,0,1,347054,10.0,2,7.0,6,1.0,0.0
206,207,0,3,Mr,0,32.0,1,0,3101278,16.0,2,,,1.0,
207,208,1,3,Mr,0,26.0,0,0,2699,19.0,0,,,1.0,
208,209,1,3,Miss,1,16.0,0,0,367231,8.0,1,,,1.0,0.0
209,210,1,1,Mr,0,40.0,0,0,112277,31.0,0,1.0,31,1.0,
210,211,0,3,Mr,0,24.0,0,0,SOTON/O.Q. 3101311,7.0,2,,,1.0,
211,212,1,2,Miss,1,35.0,0,0,F.C.C. 13528,21.0,2,,,1.0,0.0
212,213,0,3,Mr,0,22.0,0,0,A/5 21174,7.0,2,,,1.0,
213,214,0,2,Mr,0,30.0,0,0,250646,13.0,2,,,1.0,
214,215,0,3,Mr,0,,1,0,367229,8.0,1,,,1.0,
215,216,1,1,Miss,1,31.0,1,0,35273,113.0,0,4.0,36,1.0,0.0
216,217,1,3,Miss,1,27.0,0,0,STON/O2. 3101283,8.0,2,,,1.0,0.0
217,218,0,2,Mr,0,42.0,1,0,243847,27.0,2,,,1.0,
218,219,1,1,Miss,1,32.0,0,0,11813,76.0,0,4.0,15,1.0,0.0
219,220,0,2,Mr,0,30.0,0,0,W/C 14208,10.0,2,,,1.0,
220,221,1,3,Mr,0,16.0,0,0,SOTON/OQ 392089,8.0,2,,,1.0,
221,222,0,2,Mr,0,27.0,0,0,220367,13.0,2,,,1.0,
222,223,0,3,Mr,0,51.0,0,0,21440,8.0,2,,,1.0,
223,224,0,3,Mr,0,,0,0,349234,8.0,2,,,1.0,
224,225,1,1,Mr,0,38.0,1,0,19943,90.0,2,3.0,93,1.0,
225,226,0,3,Mr,0,22.0,0,0,PP 4348,9.0,2,,,1.0,
226,227,1,2,Mr,0,19.0,0,0,SW/PP 751,10.0,2,,,1.0,
227,228,0,3,Mr,0,20.5,0,0,A/5 21173,7.0,2,,,1.0,
228,229,0,2,Mr,0,18.0,0,0,236171,13.0,2,,,1.0,
229,230,0,3,Miss,1,,3,1,4133,25.0,2,,,1.0,0.0
230,231,1,1,Mrs,1,35.0,1,0,36973,83.0,2,3.0,83,1.0,1.0
231,232,0,3,Mr,0,29.0,0,0,347067,8.0,2,,,1.0,
232,233,0,2,Mr,0,59.0,0,0,237442,14.0,2,,,1.0,
233,234,1,3,Miss,1,5.0,4,2,347077,31.0,2,,,1.0,0.0
234,235,0,2,Mr,0,24.0,0,0,C.A. 29566,10.0,2,,,1.0,
235,236,0,3,Miss,1,,0,0,W./C. 6609,8.0,2,,,1.0,0.0
236,237,0,2,Mr,0,44.0,1,0,26707,26.0,2,,,1.0,
237,238,1,2,Miss,1,8.0,0,2,C.A. 31921,26.0,2,,,1.0,0.0
238,239,0,2,Mr,0,19.0,0,0,28665,10.0,2,,,1.0,
239,240,0,2,Mr,0,33.0,0,0,SCO/W 1585,12.0,2,,,1.0,
240,241,0,3,Miss,1,,1,0,2665,14.0,0,,,1.0,0.0
241,242,1,3,Miss,1,,1,0,367230,16.0,1,,,1.0,0.0
242,243,0,2,Mr,0,29.0,0,0,W./C. 14263,10.0,2,,,1.0,
243,244,0,3,Mr,0,22.0,0,0,STON/O 2. 3101275,7.0,2,,,1.0,
244,245,0,3,Mr,0,30.0,0,0,2694,7.0,0,,,1.0,
245,246,0,1,Dr,0,44.0,2,0,19928,90.0,1,3.0,78,,
246,247,0,3,Miss,1,25.0,0,0,347071,8.0,2,,,1.0,0.0
247,248,1,2,Mrs,1,24.0,0,2,250649,14.0,2,,,1.0,1.0
248,249,1,1,Mr,0,37.0,1,1,11751,53.0,2,4.0,35,1.0,
249,250,0,2,Rev,0,54.0,1,0,244252,26.0,2,,,,
250,251,0,3,Mr,0,,0,0,362316,7.0,2,,,1.0,
251,252,0,3,Mrs,1,29.0,1,1,347054,10.0,2,7.0,6,1.0,1.0
252,253,0,1,Mr,0,62.0,0,0,113514,27.0,2,3.0,87,1.0,
253,254,0,3,Mr,0,30.0,1,0,A/5. 3336,16.0,2,,,1.0,
254,255,0,3,Mrs,1,41.0,0,2,370129,20.0,2,,,1.0,1.0
255,256,1,3,Mrs,1,29.0,0,2,2650,15.0,0,,,1.0,1.0
256,257,1,1,Mrs,1,,0,0,PC 17585,79.0,0,,,1.0,1.0
257,258,1,1,Miss,1,30.0,0,0,110152,86.0,2,2.0,77,1.0,0.0
258,259,1,1,Miss,1,35.0,0,0,PC 17755,512.0,0,,,1.0,0.0
259,260,1,2,Mrs,1,50.0,0,1,230433,26.0,2,,,1.0,1.0
260,261,0,3,Mr,0,,0,0,384461,8.0,1,,,1.0,
261,262,1,3,Master,0,3.0,4,2,347077,31.0,2,,,2.0,
262,263,0,1,Mr,0,52.0,1,1,110413,80.0,2,5.0,67,1.0,
263,264,0,1,Mr,0,40.0,0,0,112059,0.0,2,2.0,94,1.0,
264,265,0,3,Miss,1,,0,0,382649,8.0,1,,,1.0,0.0
265,266,0,2,Mr,0,36.0,0,0,C.A. 17248,10.0,2,,,1.0,
266,267,0,3,Mr,0,16.0,4,1,3101295,40.0,2,,,1.0,
267,268,1,3,Mr,0,25.0,1,0,347083,8.0,2,,,1.0,
268,269,1,1,Mrs,1,58.0,0,1,PC 17582,153.0,2,3.0,125,1.0,1.0
269,270,1,1,Miss,1,35.0,0,0,PC 17760,136.0,2,3.0,99,1.0,0.0
270,271,0,1,Mr,0,,0,0,113798,31.0,2,,,1.0,
271,272,1,3,Mr,0,25.0,0,0,LINE,0.0,2,,,1.0,
272,273,1,2,Mrs,1,41.0,0,1,250644,20.0,2,,,1.0,1.0
273,274,0,1,Mr,0,37.0,0,1,PC 17596,30.0,0,3.0,118,1.0,
274,275,1,3,Miss,1,,0,0,370375,8.0,1,,,1.0,0.0
275,276,1,1,Miss,1,63.0,1,0,13502,78.0,2,4.0,7,1.0,0.0
276,277,0,3,Miss,1,45.0,0,0,347073,8.0,2,,,1.0,0.0
277,278,0,2,Mr,0,,0,0,239853,0.0,2,,,1.0,
278,279,0,3,Master,0,7.0,4,1,382652,29.0,1,,,2.0,
279,280,1,3,Mrs,1,35.0,1,1,C.A. 2673,20.0,2,,,1.0,1.0
280,281,0,3,Mr,0,65.0,0,0,336439,8.0,1,,,1.0,
281,282,0,3,Mr,0,28.0,0,0,347464,8.0,2,,,1.0,
282,283,0,3,Mr,0,16.0,0,0,345778,10.0,2,,,1.0,
283,284,1,3,Mr,0,19.0,0,0,A/5. 10482,8.0,2,,,1.0,
284,285,0,1,Mr,0,,0,0,113056,26.0,2,1.0,19,1.0,
285,286,0,3,Mr,0,33.0,0,0,349239,9.0,0,,,1.0,
286,287,1,3,Mr,0,30.0,0,0,345774,10.0,2,,,1.0,
287,288,0,3,Mr,0,22.0,0,0,349206,8.0,2,,,1.0,
288,289,1,2,Mr,0,42.0,0,0,237798,13.0,2,,,1.0,
289,290,1,3,Miss,1,22.0,0,0,370373,8.0,1,,,1.0,0.0
290,291,1,1,Miss,1,26.0,0,0,19877,79.0,2,,,1.0,0.0
291,292,1,1,Mrs,1,19.0,1,0,11967,91.0,0,2.0,49,1.0,1.0
292,293,0,2,Mr,0,36.0,0,0,SC/Paris 2163,13.0,0,4.0,,1.0,
293,294,0,3,Miss,1,24.0,0,0,349236,9.0,2,,,1.0,0.0
294,295,0,3,Mr,0,24.0,0,0,349233,8.0,2,,,1.0,
295,296,0,1,Mr,0,,0,0,PC 17612,28.0,0,,,1.0,
296,297,0,3,Mr,0,23.5,0,0,2693,7.0,0,,,1.0,
